Td	ID	Tj	Df	Dd	Db	
45	2158	36	0	9	9
45	2149	35	0	10	10
45	2156	36	0	9	9
45	2175	38	0	7	7
45	2157	36	0	9	9
45	2180	41	0	4	4
45	2188	41	0	4	4
45	2170	38	0	7	7
45	2165	37	0	8	8
45	2160	37	0	8	8
45	2176	38	0	7	7
45	2173	38	0	7	7
45	2172	38	0	7	7
46	2186	41	0	5	5
46	206	35	0	11	11
46	216	37	0	9	9
46	207	35	0	11	11
46	222	39	0	7	7
46	208	35	0	11	11
46	2155	36	0	10	10
46	2162	37	0	9	9
46	2168	37	1	8	9
47	2174	38	0	9	9
47	2164	37	1	9	10
47	2167	37	1	9	10
47	2185	41	0	6	6
47	2187	41	0	6	6
47	2166	37	1	9	10
47	2182	41	0	6	6
49	2189	41	0	8	8
49	235	40	0	9	9
50	212	37	0	13	13
51	236	40	0	11	11
51	204	35	0	16	16
52	2195	49	0	3	3
52	268	45	0	7	7
52	278	47	2	3	5
52	241	42	0	10	10
52	234	40	0	12	12
53	2197	49	0	4	4
53	280	47	2	4	6
53	249	42	0	11	11
53	282	49	0	4	4
53	272	47	2	4	6
53	290	49	0	4	4
53	202	35	0	18	18
53	262	45	0	8	8
53	242	42	0	11	11
53	286	49	0	4	4
53	2192	49	0	4	4
54	2201	51	0	3	3
54	274	47	2	5	7
55	2196	49	0	6	6
55	297	52	0	3	3
55	229	39	0	16	16
55	2199	49	0	6	6
56	2191	49	0	7	7
56	2193	49	0	7	7
56	2219	52	0	4	4
56	2216	52	0	4	4
56	2208	51	0	5	5
56	2213	52	0	4	4
56	2190	49	0	7	7
57	2209	51	0	6	6
57	2194	49	0	8	8
58	2206	51	0	7	7
58	2238	54	0	4	4
58	2228	53	0	5	5
58	2229	53	0	5	5
58	2224	53	0	5	5
58	2221	53	0	5	5
58	2225	53	0	5	5
58	2218	52	0	6	6
58	299	52	0	6	6
58	2203	51	0	7	7
59	2210	52	0	7	7
59	2211	52	0	7	7
59	2215	52	0	7	7
59	2230	54	0	5	5
59	2237	54	0	5	5
59	2200	51	0	8	8
59	2214	52	0	7	7
59	2198	49	0	10	10
59	2217	52	0	7	7
60	2232	54	0	6	6
60	2233	54	0	6	6
60	2236	54	1	5	6
60	2222	53	0	7	7
60	2223	53	0	7	7
60	2212	52	0	8	8
60	2202	51	0	9	9
60	2205	51	0	9	9
60	2226	53	0	7	7
61	2220	53	0	8	8
61	2239	54	1	6	7
61	2227	53	0	8	8
61	2240	57	0	4	4
61	2242	57	0	4	4
61	2243	57	0	4	4
61	2244	57	0	4	4
61	2249	57	0	4	4
61	2204	51	0	10	10
61	2207	51	0	10	10
61	2235	54	0	7	7
62	2234	54	0	8	8
62	2246	57	0	5	5
62	2248	57	0	5	5
62	2231	54	0	8	8
62	2247	57	0	5	5
63	303	56	0	7	7
64	2245	57	0	7	7
64	2256	61	0	3	3
64	2259	61	0	3	3
64	2254	61	0	3	3
64	2241	57	0	7	7
64	315	58	0	6	6
64	305	56	0	8	8
64	318	58	0	6	6
64	301	56	0	8	8
64	306	56	0	8	8
65	2253	61	0	4	4
65	2265	62	0	3	3
65	2268	62	0	3	3
65	2250	61	0	4	4
65	324	61	0	4	4
65	340	62	0	3	3
65	314	58	0	7	7
66	2272	63	0	3	3
66	2258	61	0	5	5
67	2276	63	0	4	4
68	2279	63	0	5	5
68	2285	65	0	3	3
68	2287	65	0	3	3
68	2264	62	0	6	6
68	2257	61	0	7	7
69	2252	61	0	8	8
69	2262	62	0	7	7
69	2282	65	0	4	4
69	2255	61	0	8	8
69	2273	63	0	6	6
69	2269	62	0	7	7
69	2251	61	0	8	8
70	2278	63	0	7	7
70	2260	62	0	8	8
70	345	64	0	6	6
70	350	64	0	6	6
70	2261	62	0	8	8
70	2263	62	0	8	8
71	2267	62	0	9	9
71	2271	63	1	7	8
71	2291	67	0	4	4
71	2298	67	0	4	4
71	2293	67	0	4	4
71	2292	67	0	4	4
71	2289	65	0	6	6
72	2280	65	0	7	7
72	353	66	0	6	6
73	2284	65	0	8	8
73	2288	65	0	8	8
73	2274	63	1	9	10
73	2275	63	1	9	10
73	2277	63	1	9	10
73	2266	62	0	11	11
73	2281	65	0	8	8
73	362	68	0	5	5
73	354	66	0	7	7
73	365	68	0	5	5
73	2286	65	0	8	8
73	2270	63	1	9	10
74	2306	70	0	4	4
74	2307	70	0	4	4
74	2302	70	0	4	4
74	2312	71	0	3	3
74	2294	67	0	7	7
75	2290	67	1	7	8
75	2283	65	0	10	10
75	2319	71	0	4	4
75	2315	71	0	4	4
75	374	71	0	4	4
76	2296	67	1	8	9
76	2323	73	0	3	3
77	2320	73	0	4	4
77	2336	74	0	3	3
77	2330	74	0	3	3
77	2326	73	0	4	4
77	377	71	0	6	6
77	371	71	0	6	6
77	396	74	0	3	3
77	2295	67	1	9	10
78	2335	74	0	4	4
78	393	74	0	4	4
79	2299	67	1	11	12
79	399	74	0	5	5
79	394	74	0	5	5
79	2305	70	0	9	9
80	2317	71	1	8	9
80	2308	70	0	10	10
80	2297	67	1	12	13
80	2316	71	0	9	9
80	2356	77	0	3	3
80	2355	77	0	3	3
80	2303	70	0	10	10
81	2322	73	0	8	8
81	2327	73	0	8	8
81	2309	70	0	11	11
81	2344	76	0	5	5
81	2342	76	0	5	5
81	2343	76	0	5	5
81	2340	76	0	5	5
81	2318	71	0	10	10
81	91	14	1	66	67
81	144	22	3	56	59
81	80	9	1	71	72
81	165	26	2	53	55
81	62	8	0	73	73
81	151	24	2	55	57
81	152	24	2	55	57
81	162	26	2	53	55
81	35	5	0	76	76
81	73	9	1	71	72
81	3	2	0	79	79
81	53	7	0	74	74
81	2	2	0	79	79
81	29	4	0	77	77
81	57	7	0	74	74
81	50	6	0	75	75
81	125	18	2	61	63
81	84	10	4	67	71
81	31	5	0	76	76
81	166	26	2	53	55
81	107	16	1	64	65
81	108	16	1	64	65
81	61	8	0	73	73
81	55	7	0	74	74
81	99	14	1	66	67
81	126	18	2	61	63
81	11	3	0	78	78
81	138	21	2	58	60
81	72	9	1	71	72
81	407	76	0	5	5
81	409	76	0	5	5
81	2338	74	0	7	7
81	2310	71	0	10	10
81	2311	71	0	10	10
81	2314	71	0	10	10
81	2321	73	0	8	8
81	2324	73	0	8	8
81	2329	73	0	8	8
81	2304	70	0	11	11
82	2357	77	0	5	5
82	2301	70	0	12	12
82	17	3	0	79	79
82	13	3	0	79	79
82	22	4	0	78	78
82	112	17	0	65	65
82	196	31	0	51	51
82	92	14	0	68	68
82	33	5	0	77	77
82	185	30	0	52	52
82	200	31	0	51	51
82	279	47	2	33	35
82	197	31	0	51	51
82	233	40	0	42	42
82	182	30	0	52	52
82	246	42	0	40	40
82	266	45	6	31	37
82	257	43	0	39	39
82	2331	74	0	8	8
83	2333	74	0	9	9
83	2334	74	0	9	9
83	2368	80	0	3	3
83	2363	80	0	3	3
83	2339	74	0	9	9
83	2300	70	0	13	13
83	293	52	2	29	31
83	298	52	2	29	31
83	288	49	0	34	34
83	23	4	0	79	79
83	136	21	0	62	62
83	164	26	0	57	57
83	231	40	0	43	43
83	287	49	0	34	34
83	161	26	0	57	57
83	238	40	0	43	43
83	239	40	0	43	43
83	140	21	0	62	62
83	142	22	0	61	61
83	36	5	0	78	78
83	131	21	0	62	62
83	411	79	0	4	4
83	2346	76	0	7	7
84	2345	76	0	8	8
84	2349	76	0	8	8
84	2360	80	0	4	4
84	2332	74	0	10	10
84	2313	71	0	13	13
84	2358	77	0	7	7
84	2353	77	0	7	7
84	2354	77	0	7	7
84	2347	76	0	8	8
84	2348	76	0	8	8
84	163	26	0	58	58
84	283	49	0	35	35
84	284	49	0	35	35
84	276	47	2	35	37
84	134	21	0	63	63
84	252	43	1	40	41
84	259	43	0	41	41
84	275	47	2	35	37
84	175	29	0	55	55
84	243	42	0	42	42
84	291	52	2	30	32
84	265	45	6	33	39
84	304	56	0	28	28
84	336	62	0	22	22
84	338	62	0	22	22
84	334	62	0	22	22
84	228	39	0	45	45
84	230	39	0	45	45
84	250	42	0	42	42
84	254	43	1	40	41
84	309	56	0	28	28
84	320	58	1	25	26
84	321	61	0	23	23
84	333	62	0	22	22
84	335	62	0	22	22
84	329	61	0	23	23
84	313	58	1	25	26
84	416	79	0	5	5
85	2341	76	0	9	9
85	2359	77	0	8	8
85	32	5	0	80	80
85	122	18	2	65	67
85	114	17	0	68	68
85	139	21	0	64	64
85	128	18	2	65	67
85	188	30	0	55	55
85	316	58	1	26	27
85	344	64	0	21	21
85	346	64	0	21	21
85	224	39	3	43	46
85	226	39	1	45	46
85	187	30	0	55	55
85	311	58	1	26	27
85	341	64	0	21	21
85	347	64	0	21	21
85	106	16	0	69	69
85	12	3	0	82	82
85	102	16	0	69	69
85	357	66	0	19	19
85	360	66	0	19	19
85	223	39	16	30	46
85	358	66	0	19	19
85	201	35	0	50	50
85	369	68	0	17	17
85	364	68	0	17	17
85	213	37	1	47	48
85	219	37	1	47	48
85	366	68	0	17	17
85	2350	77	0	8	8
86	2328	73	0	13	13
86	2337	74	0	12	12
86	2351	77	0	9	9
87	2377	85	0	2	2
87	2352	77	0	10	10
87	2361	80	0	7	7
87	2364	80	0	7	7
88	2367	80	0	8	8
88	2365	80	0	8	8
88	2372	85	0	3	3
88	2379	85	0	3	3
88	2366	80	0	8	8
88	2325	73	0	15	15
88	2362	80	0	8	8
89	2369	80	0	9	9
90	2388	87	0	3	3
90	2382	87	0	3	3
90	28	4	0	86	86
91	2371	85	0	6	6
91	2393	88	0	3	3
91	2391	88	0	3	3
91	2397	88	0	3	3
91	2390	88	0	3	3
91	2378	85	0	6	6
91	2370	85	0	6	6
91	211	37	31	23	54
91	375	71	0	20	20
91	378	71	0	20	20
91	361	68	0	23	23
91	387	72	0	19	19
91	388	72	0	19	19
91	390	72	0	19	19
91	383	72	0	19	19
91	373	71	0	20	20
91	389	72	0	19	19
91	384	72	0	19	19
91	395	74	0	17	17
91	400	74	0	17	17
91	392	74	0	17	17
91	402	76	0	15	15
91	403	76	0	15	15
91	408	76	0	15	15
92	2403	90	0	2	2
93	2404	90	0	3	3
93	2406	90	0	3	3
93	2401	90	0	3	3
94	2385	87	0	7	7
95	2373	85	0	10	10
95	2412	91	0	4	4
95	489	89	0	6	6
95	486	89	0	6	6
95	515	92	0	3	3
95	425	81	0	14	14
95	457	85	0	10	10
95	497	90	0	5	5
95	504	91	0	4	4
95	475	88	0	7	7
95	2384	87	0	8	8
95	2374	85	0	10	10
95	2381	87	0	8	8
96	2394	88	0	8	8
96	2398	88	0	8	8
96	2386	87	0	9	9
96	2426	93	0	3	3
96	2429	93	0	3	3
96	237	40	4	52	56
96	440	82	0	14	14
96	501	91	0	5	5
96	512	92	0	4	4
96	479	88	0	8	8
96	499	90	0	6	6
96	459	85	0	11	11
96	490	89	0	7	7
96	449	83	0	13	13
96	432	82	0	14	14
96	466	86	0	10	10
97	2392	88	0	9	9
97	2395	88	0	9	9
97	2375	85	0	12	12
97	2376	85	0	12	12
97	2434	94	0	3	3
97	2424	93	0	4	4
97	2428	93	0	4	4
97	2410	91	0	6	6
97	2389	87	0	10	10
97	428	81	0	16	16
97	436	82	0	15	15
97	485	89	0	8	8
97	2380	87	0	10	10
98	2418	91	0	7	7
98	2407	90	0	8	8
98	2409	90	0	8	8
98	2383	87	0	11	11
98	2387	87	0	11	11
98	2405	90	0	8	8
98	2413	91	0	7	7
98	2414	91	0	7	7
98	2399	88	0	10	10
98	493	90	0	8	8
98	2415	91	0	7	7
98	2416	91	0	7	7
99	2411	91	0	8	8
99	2442	96	0	3	3
99	2402	90	0	9	9
99	2400	90	0	9	9
99	527	94	0	5	5
100	2420	93	0	7	7
100	2430	94	0	6	6
100	2431	94	0	6	6
100	2396	88	0	12	12
100	522	94	0	6	6
100	251	43	3	54	57
101	2417	91	0	10	10
101	2419	91	0	10	10
101	2423	93	0	8	8
101	2437	94	0	7	7
101	2433	94	0	7	7
101	2444	96	0	5	5
101	2408	90	0	11	11
101	2436	94	0	7	7
102	2425	93	0	9	9
102	2432	94	0	8	8
102	2438	94	0	8	8
102	2452	99	0	3	3
102	2448	96	0	6	6
102	77	9	1	92	93
102	130	18	2	82	84
102	2440	96	0	6	6
103	2435	94	0	9	9
103	2445	96	0	7	7
103	2457	99	0	4	4
103	2471	101	0	2	2
103	2446	96	0	7	7
103	2443	96	0	7	7
103	2422	93	0	10	10
103	2449	96	0	7	7
103	2421	93	0	10	10
103	2427	93	0	10	10
103	536	97	0	6	6
104	2439	94	0	10	10
104	2463	100	0	4	4
104	2460	100	0	4	4
104	2461	100	0	4	4
104	2478	101	0	3	3
104	2459	99	0	5	5
104	532	97	0	7	7
104	550	100	0	4	4
104	537	97	0	7	7
104	538	97	0	7	7
104	2441	96	0	8	8
105	2447	96	0	9	9
105	2479	101	0	4	4
105	2450	99	0	6	6
105	2455	99	0	6	6
105	559	101	0	4	4
105	545	100	0	5	5
105	542	100	0	5	5
105	2453	99	0	6	6
106	547	100	0	6	6
106	557	101	0	5	5
106	578	103	0	3	3
107	2454	99	0	8	8
107	2456	99	0	8	8
107	2458	99	0	8	8
107	2466	100	0	7	7
107	2468	100	0	7	7
107	2488	103	0	4	4
107	2462	100	0	7	7
107	248	42	4	61	65
107	566	102	0	5	5
107	574	103	0	4	4
107	565	102	0	5	5
107	577	103	0	4	4
107	567	102	0	5	5
107	2451	99	0	8	8
108	2474	101	0	7	7
108	2482	103	0	5	5
108	2484	103	0	5	5
109	2480	103	0	6	6
109	2498	104	0	5	5
109	2483	103	0	6	6
109	2486	103	0	6	6
109	199	31	4	74	78
109	156	24	2	83	85
109	141	22	2	85	87
109	133	21	2	86	88
109	153	24	2	83	85
109	220	37	7	65	72
109	210	35	2	72	74
109	169	26	2	81	83
109	24	4	0	105	105
109	137	21	2	86	88
109	149	22	3	84	87
109	590	107	0	2	2
109	2485	103	0	6	6
110	2475	101	0	9	9
110	2506	105	0	5	5
110	2507	105	0	5	5
110	2496	104	0	6	6
110	2504	105	0	5	5
111	2476	101	0	10	10
111	2490	104	0	7	7
111	2513	106	0	5	5
111	2516	106	0	5	5
111	2524	108	0	3	3
111	2467	100	0	11	11
111	2465	100	0	11	11
111	2464	100	0	11	11
111	2473	101	0	10	10
112	2487	103	0	9	9
112	2510	106	0	6	6
112	2531	109	0	3	3
112	2470	101	0	11	11
112	2495	104	0	8	8
112	2497	104	0	8	8
112	2477	101	0	11	11
112	2472	101	0	11	11
113	2491	104	0	9	9
113	2540	111	0	2	2
113	2492	104	0	9	9
113	2469	100	0	13	13
114	2493	104	0	10	10
114	2542	111	0	3	3
114	2545	111	0	3	3
114	2543	111	0	3	3
114	2525	108	1	5	6
114	2500	105	0	9	9
114	2494	104	0	10	10
114	2533	109	0	5	5
114	2502	105	0	9	9
115	2519	106	0	9	9
115	2551	112	0	3	3
115	2521	108	1	6	7
115	2538	109	0	6	6
115	2517	106	0	9	9
115	2520	108	1	6	7
115	2503	105	0	10	10
115	2511	106	0	9	9
116	2561	113	0	3	3
116	2564	113	0	3	3
116	2559	112	0	4	4
116	2566	113	0	3	3
116	2553	112	0	4	4
116	2569	113	0	3	3
116	2562	113	0	3	3
116	2549	111	0	5	5
116	2548	111	0	5	5
117	2501	105	0	12	12
117	2515	106	0	11	11
117	2563	113	0	4	4
117	2579	114	0	3	3
117	2547	111	0	6	6
117	2544	111	0	6	6
118	2576	114	0	4	4
118	2589	115	0	3	3
118	2572	114	0	4	4
119	2514	106	0	13	13
119	2518	106	0	13	13
119	2586	115	0	4	4
119	2588	115	0	4	4
119	2594	116	0	3	3
119	2590	116	0	3	3
119	2581	115	0	4	4
119	2584	115	0	4	4
119	2587	115	0	4	4
119	2573	114	0	5	5
119	2499	104	0	15	15
119	2512	106	0	13	13
119	610	111	0	8	8
119	2527	108	0	11	11
119	2508	105	0	14	14
120	2535	109	1	10	11
120	2593	116	0	4	4
120	2585	115	0	5	5
120	2599	116	0	4	4
120	2591	116	0	4	4
120	608	111	0	9	9
120	607	111	0	9	9
120	593	109	0	11	11
120	2537	109	1	10	11
121	2575	114	0	7	7
121	2567	113	0	8	8
121	2570	114	0	7	7
121	2489	103	0	18	18
121	41	6	0	115	115
121	132	21	2	98	100
121	176	29	3	89	92
121	218	37	2	82	84
121	118	17	1	103	104
121	189	30	3	88	91
121	192	31	4	86	90
121	240	40	4	77	81
121	465	86	0	35	35
121	461	86	0	35	35
121	474	88	0	33	33
121	412	79	0	42	42
121	414	79	0	42	42
121	464	86	0	35	35
121	463	86	0	35	35
121	471	88	0	33	33
121	617	115	0	6	6
121	612	115	0	6	6
121	621	117	0	4	4
121	618	115	0	6	6
122	2568	113	0	9	9
122	628	117	0	5	5
123	2601	120	0	3	3
123	2582	115	0	8	8
123	2577	114	0	9	9
123	625	117	0	6	6
123	2522	108	0	15	15
123	2526	108	0	15	15
124	2608	120	0	4	4
124	640	119	0	5	5
125	2616	121	0	4	4
125	2606	120	0	5	5
125	2610	121	0	4	4
125	2611	121	0	4	4
125	2481	103	0	22	22
125	2558	112	0	13	13
125	2595	116	0	9	9
126	2532	109	1	16	17
126	2635	123	0	3	3
126	2626	122	0	4	4
126	2509	105	0	21	21
126	650	121	0	5	5
126	2523	108	0	18	18
126	2529	108	0	18	18
127	2636	123	0	4	4
127	2624	122	0	5	5
127	2633	123	0	4	4
127	2628	122	0	5	5
127	2630	123	0	4	4
127	2620	122	0	5	5
127	2646	125	0	2	2
127	644	121	0	6	6
127	2539	109	1	17	18
127	2528	108	0	19	19
128	2550	112	0	16	16
128	2552	112	0	16	16
128	2554	112	0	16	16
128	2565	113	1	14	15
128	2649	125	0	3	3
128	2602	120	0	8	8
128	659	125	0	3	3
128	2534	109	1	18	19
128	2536	109	1	18	19
128	2541	111	0	17	17
128	2546	111	0	17	17
129	2530	109	1	19	20
129	2556	112	1	16	17
129	2614	121	0	8	8
129	651	125	0	4	4
129	205	35	2	92	94
129	121	18	2	109	111
129	116	17	1	111	112
130	2571	114	0	16	16
130	2604	120	0	10	10
131	2560	113	1	17	18
131	2583	115	1	15	16
131	2555	112	1	18	19
131	2557	112	1	18	19
131	2653	128	0	3	3
131	2654	128	0	3	3
133	2651	128	0	5	5
133	2652	128	0	5	5
133	2663	129	0	4	4
133	2647	125	0	8	8
134	2662	129	0	5	5
134	2665	129	0	5	5
134	2666	129	0	5	5
134	665	126	0	8	8
134	658	125	0	9	9
134	672	129	0	5	5
134	655	125	0	9	9
135	2574	114	0	21	21
135	2578	114	0	21	21
135	2685	133	0	2	2
136	2683	133	0	3	3
136	2684	133	0	3	3
136	2689	133	0	3	3
136	2673	132	0	4	4
