Td	ID	Tj	Df	Dd	Db	
277	208	202	15	60	75
278	2176	204	22	52	74
280	2071	104	6	170	176
280	2042	61	3	216	219
281	2058	79	5	197	202
283	2050	66	4	213	217
287	2101	120	11	156	167
288	2228	260	0	28	28
290	2132	162	15	113	128
290	2226	257	1	32	33
290	2229	260	2	28	30
291	2244	281	5	5	10
291	2241	276	10	5	15
291	2246	282	4	5	9
291	282	286	0	5	5
292	195	194	31	67	98
292	92	91	6	195	201
292	218	215	16	61	77
292	152	139	14	139	153
292	160	154	13	125	138
292	167	159	30	103	133
292	156	141	14	137	151
293	2063	92	5	196	201
293	2166	197	19	77	96
294	2231	261	0	33	33
296	2105	126	12	158	170
297	2106	126	13	158	171
298	2247	282	4	12	16
299	293	297	0	2	2
300	290	293	0	7	7
301	284	290	0	11	11
302	2115	141	12	149	161
306	2146	170	17	119	136
306	2257	305	0	1	1
307	2059	79	5	223	228
307	300	304	0	3	3
318	2193	216	25	77	102
318	308	315	0	3	3
319	140	128	13	178	191
319	193	194	15	110	125
319	112	110	8	201	209
319	107	108	19	192	211
319	87	88	7	224	231
319	143	130	14	175	189
319	83	86	5	228	233
319	125	116	25	178	203
319	97	98	7	214	221
319	53	56	10	253	263
319	84	86	13	220	233
319	40	40	3	276	279
319	90	90	6	223	229
319	58	61	3	255	258
319	134	125	2	192	194
319	131	123	11	185	196
319	148	136	5	178	183
324	2274	320	0	4	4
324	2259	306	0	18	18
325	169	161	30	134	164
327	2157	184	16	127	143
327	2272	318	0	9	9
328	2081	110	7	211	218
328	2238	269	0	59	59
328	2254	300	0	28	28
330	314	320	0	10	10
333	2160	187	17	129	146
335	2163	188	18	129	147
337	2181	208	22	107	129
338	217	215	16	107	123
339	2185	209	23	107	130
340	2148	172	17	151	168
340	2084	112	7	221	228
341	250	260	16	65	81
341	2255	305	0	36	36
341	185	189	17	135	152
341	192	193	16	132	148
341	105	103	7	231	238
341	108	108	8	225	233
341	171	161	1	179	180
341	166	159	3	179	182
342	221	217	15	110	125
343	2100	120	10	213	223
343	2249	297	0	46	46
343	331	339	0	4	4
344	338	341	0	3	3
345	2280	326	0	19	19
347	337	341	0	6	6
349	255	264	15	70	85
350	241	250	14	86	100
351	257	265	16	70	86
353	2076	108	6	239	245
354	2167	197	19	138	157
354	247	253	32	69	101
360	2123	152	14	194	208
360	2065	92	6	262	268
361	2303	359	0	2	2
362	2301	355	1	6	7
363	2054	78	4	281	285
365	2218	250	25	90	115
367	2306	362	0	5	5
367	343	355	0	12	12
371	2295	346	0	25	25
375	2183	209	21	145	166
376	2279	326	0	50	50
378	2297	350	5	23	28
379	2151	174	16	189	205
379	2302	355	0	24	24
381	2298	350	6	25	31
382	2130	158	16	208	224
382	275	279	16	87	103
382	228	229	11	142	153
382	236	236	14	132	146
382	188	191	17	174	191
382	89	90	6	286	292
382	99	98	16	268	284
382	115	111	8	263	271
382	182	186	17	179	196
382	157	148	45	189	234
382	194	194	15	173	188
382	203	199	14	169	183
382	150	136	15	231	246
382	210	202	15	165	180
382	103	103	7	272	279
384	2313	377	1	6	7
387	2192	216	24	147	171
388	2236	267	25	96	121
388	2300	355	0	33	33
388	2318	382	0	6	6
388	259	267	16	105	121
390	371	388	0	2	2
391	2239	269	25	97	122
391	2315	379	0	12	12
391	2326	389	0	2	2
392	2079	109	7	276	283
396	2253	300	27	69	96
396	2200	220	27	149	176
397	2324	389	0	8	8
405	2327	394	0	11	11
405	309	315	22	68	90
409	2291	340	36	33	69
409	316	321	46	42	88
410	297	299	51	60	111
411	186	189	17	205	222
412	2333	411	0	1	1
413	2212	234	25	154	179
414	319	326	27	61	88
418	2338	412	0	6	6
418	2334	411	0	7	7
418	2341	415	0	3	3
419	2215	239	26	154	180
425	2337	412	0	13	13
426	2080	109	7	310	317
427	180	181	31	215	246
428	2352	427	0	1	1
428	335	340	22	66	88
430	2351	427	0	3	3
430	2347	423	0	7	7
431	2284	327	35	69	104
431	2173	201	20	210	230
431	2356	428	0	3	3
432	2357	431	0	1	1
434	2141	169	16	249	265
435	253	264	15	156	171
438	243	250	14	174	188
442	261	267	17	158	175
443	2227	257	27	159	186
443	2184	209	21	213	234
445	2360	438	0	7	7
445	189	191	17	237	254
445	227	229	11	205	216
445	146	135	15	295	310
445	232	235	12	198	210
445	264	268	17	160	177
445	303	309	22	114	136
445	260	267	37	141	178
445	176	178	32	235	267
445	332	339	22	84	106
